respondent_id_number,number_of_children,age_of_respondent,highest_year_of_school_completed,highest_year_school_completed_father,highest_year_school_completed_mother,highest_year_school_completed_spouse,college_major_1,college_major_2,diploma_ged_or_other,respondents_sex,number_of_brothers_and_sisters,labor_force_status,number_of_hours_worked_last_week,number_of_hours_usually_work_a_week,self_emp_or_works_for_somebody,govt_or_private_employee,occupation_code,marital_status,marital_type,race_of_respondent,born_in_us,should_govt_reduce_income_differences,favor_or_oppose_death_penalty_for_murder,should_marijuana_be_made_legal,rs_religious_preference,specific_denomination,other_protestant_denominations,general_happiness,condition_of_health,is_life_exciting_or_dull,ballot_used_for_interview,parks_and_recreation,mass_transportation,number_of_persons_in_household,total_family_income,respondents_income,region_of_interview,size_of_place_in_1000s,political_party_affiliation,think_of_self_as_liberal_or_conservative,space_exploration_program,improving_protecting_environment,improving_protecting_nations_health,lived_in_us
1449,2,45,10,12,9,NA,NA,NA,Ged,Female,5,School,NA,NA,Someone else,Private,"Managers, all other",Divorced,NA,White,Yes,NA,Favor,NA,Other,NA,NA,Pretty happy,Fair,Routine,Ballot a,About right,Too little,2,$10000 - 14999,(Missing),South Atlantic,67,Independent,Liberal,NA,NA,NA,NA
1450,7,67,12,NA,6,NA,NA,NA,High school diploma,Male,1,Retired,NA,NA,Someone else,Private,Driver/sales workers and truck drivers,Divorced,NA,Black,Yes,3,Favor,Legal,Protestant,Southern baptist,NA,Not too happy,NA,NA,Ballot b,Too little,Too little,1,$20000 - 24999,(Missing),South Atlantic,67,Democrat,Slghtly conservative,NA,NA,NA,NA
1451,1,34,12,12,8,12,NA,NA,Ged,Female,2,Working fulltime,40,NA,Someone else,Private,"Property, real estate, and community association managers",Married,Marriage between a man and a woman,White,Yes,4,Favor,Not legal,Protestant,Other,Pentecostal,Very happy,Excellent,Exciting,Ballot c,Too little,About right,4,$25000 or more,$25000 or more,South Atlantic,67,Republican,Moderate,NA,NA,NA,NA
1452,2,82,12,NA,0,NA,NA,NA,High school diploma,Male,11,Retired,NA,NA,Someone else,Government,Prepress technicians and workers,Widowed,NA,Black,Yes,No govt action,Favor,Not legal,Protestant,Other,Churches of God(Except with Christ and Holiness),Pretty happy,NA,NA,Ballot b,About right,Too little,1,$25000 or more,(Missing),South Atlantic,67,NA,Moderate,About right,Too little,Too little,NA
1453,2,44,13,16,12,12,NA,NA,High school diploma,Male,6,Working fulltime,40,NA,Someone else,Government,First-line supervisors of office and administrative support workers,Married,Marriage between a man and a woman,Other,No,5,Favor,Legal,Protestant,Southern baptist,NA,Very happy,NA,NA,Ballot b,About right,About right,2,$25000 or more,$25000 or more,South Atlantic,67,Independent,Moderate,NA,NA,NA,38
1454,3,48,18,16,12,16,Education,NA,High school diploma,Female,3,Temp not working,NA,40,Someone else,Government,Other teachers and instructors,Married,Marriage between a man and a woman,White,Yes,Govt reduce diff,Favor,Not legal,Protestant,United methodist,NA,Pretty happy,Good,Routine,Ballot c,Too little,About right,2,$25000 or more,$25000 or more,South Atlantic,67,Independent,Moderate,NA,NA,NA,NA
1455,2,24,8,NA,NA,NA,NA,NA,NA,Female,3,Keeping house,NA,NA,Someone else,Private,"Combined food preparation and serving workers, including fast food",Never married,NA,White,Yes,2,Oppose,Legal,Protestant,Southern baptist,NA,Not too happy,NA,NA,Ballot b,About right,About right,5,$10000 - 14999,$3000 to 3999,South Atlantic,67,Independent,Conservative,About right,Too little,Too little,NA
1456,2,56,12,16,NA,11,NA,NA,High school diploma,Male,8,Other,NA,NA,Someone else,Private,Aircraft mechanics and service technicians,Married,Marriage between a man and a woman,White,No,6,Favor,Not legal,None,NA,NA,Very happy,NA,Routine,Ballot c,About right,About right,2,(Missing),(Missing),South Atlantic,67,Republican,Conservative,Too much,About right,Too little,53
1457,3,65,11,NA,NA,13,NA,NA,Ged,Male,6,Working fulltime,40,NA,Someone else,Private,Grounds maintenance workers,Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,Protestant,Other,Assembly of God,Pretty happy,Excellent,Routine,Ballot a,About right,NA,2,$25000 or more,$10000 - 14999,South Atlantic,67,Independent,Conservative,About right,Too much,Too little,NA
1458,1,48,13,NA,9,NA,NA,NA,High school diploma,Female,8,Working fulltime,40,NA,Someone else,Private,"Laborers and freight, stock, and material movers, hand",Never married,NA,Black,Yes,Govt reduce diff,NA,Legal,Protestant,Baptist-dk which,NA,Not too happy,Good,Exciting,Ballot c,Too little,NA,2,$25000 or more,$25000 or more,South Atlantic,67,Independent,Moderate,NA,NA,NA,NA
1459,2,27,16,NA,16,NA,NA,NA,High school diploma,Female,2,Keeping house,NA,NA,Someone else,Government,Teacher assistants,Never married,NA,Black,Yes,NA,Oppose,NA,Protestant,Southern baptist,NA,Not too happy,Good,Dull,Ballot a,Too little,Too little,3,Lt $1000,(Missing),South Atlantic,67,Democrat,Moderate,NA,NA,NA,NA
1460,3,55,18,18,16,18,Business administration,NA,High school diploma,Female,2,Working fulltime,35,NA,Someone else,Private,Chief executives,Married,Marriage between a man and a woman,Black,Yes,NA,Oppose,NA,Protestant,Baptist-dk which,NA,Pretty happy,Excellent,Routine,Ballot a,About right,Too little,3,$25000 or more,$25000 or more,South Atlantic,67,Independent,Slightly liberal,NA,Too little,Too little,NA
1461,0,25,15,16,13,16,NA,NA,High school diploma,Male,1,School,NA,NA,Someone else,Private,Waiters and waitresses,Married,Marriage between a man and a woman,White,Yes,3,NA,Legal,None,NA,NA,Very happy,Good,Routine,Ballot c,About right,About right,1,Lt $1000,(Missing),South Atlantic,822,Independent,Moderate,NA,NA,NA,NA
1462,5,55,12,NA,10,NA,NA,NA,High school diploma,Female,6,Working fulltime,40,NA,Someone else,Private,"Nursing, psychiatric, and home health aides",Divorced,NA,Black,Yes,5,Oppose,Legal,Protestant,Am bapt ch in usa,NA,Not too happy,Fair,Exciting,Ballot c,Too little,Too little,1,$10000 - 14999,$10000 - 14999,South Atlantic,822,Democrat,Conservative,Too much,Too little,Too little,NA
1463,2,71,13,NA,NA,NA,NA,NA,High school diploma,Female,1,Retired,NA,NA,Someone else,NA,Billing and posting clerks,Separated,NA,White,Yes,4,Oppose,Legal,Protestant,No denomination,NA,Pretty happy,Fair,Routine,Ballot c,About right,Too little,1,(Missing),(Missing),South Atlantic,822,NA,Moderate,NA,NA,NA,NA
1464,2,26,12,NA,12,NA,NA,NA,High school diploma,Male,5,Working fulltime,70,NA,Self-employed,Private,Construction laborers,Never married,NA,White,Yes,No govt action,Favor,Legal,Protestant,No denomination,NA,Pretty happy,NA,NA,Ballot b,About right,About right,4,$20000 - 24999,$20000 - 24999,South Atlantic,822,NA,Extrmly conservative,About right,Too little,Too little,NA
1465,4,59,12,12,12,16,NA,NA,High school diploma,Female,1,Working fulltime,40,NA,Someone else,Private,Driver/sales workers and truck drivers,Married,Marriage between a man and a woman,White,Yes,3,NA,NA,Protestant,Southern baptist,NA,Very happy,NA,NA,Ballot b,Too little,Too little,4,$25000 or more,$15000 - 19999,South Atlantic,822,NA,Conservative,NA,NA,NA,NA
1466,1,56,16,20,13,NA,NA,NA,High school diploma,Female,5,Working fulltime,40,NA,Someone else,Private,"Bookkeeping, accounting, and auditing clerks",Divorced,NA,White,Yes,4,Oppose,Legal,None,NA,NA,Pretty happy,Excellent,Routine,Ballot c,Too little,Too little,2,$25000 or more,$25000 or more,South Atlantic,822,Independent,Moderate,NA,NA,NA,NA
1467,0,58,20,8,12,NA,Information technology,NA,High school diploma,Female,4,Other,NA,NA,Someone else,Private,"Software developers, applications and systems software",Divorced,NA,White,Yes,3,Oppose,Legal,Protestant,No denomination,NA,Not too happy,NA,NA,Ballot b,About right,Too little,1,Refused,(Missing),South Atlantic,822,NA,Moderate,NA,Too little,Too little,NA
1468,1,27,15,NA,13,NA,Other,NA,High school diploma,Female,6,Working fulltime,44,NA,Someone else,Government,New accounts clerks,Never married,NA,Black,Yes,NA,Oppose,NA,Christian,No denomination,NA,Pretty happy,Fair,Routine,Ballot a,Too little,About right,2,$25000 or more,$25000 or more,South Atlantic,822,Democrat,Moderate,NA,NA,NA,NA
1469,2,69,13,12,9,15,NA,NA,High school diploma,Female,1,Working fulltime,50,NA,Someone else,Government,"Business operations specialists, all other",Married,Marriage between a man and a woman,Black,Yes,3,NA,NA,Protestant,Baptist-dk which,NA,Very happy,Excellent,Routine,Ballot c,Too little,Too little,1,Refused,$25000 or more,South Atlantic,822,NA,Extremely liberal,NA,NA,NA,NA
1470,1,30,13,16,16,NA,NA,NA,Ged,Female,2,Working fulltime,40,NA,Someone else,Private,"Securities, commodities, and financial services sales agents",Never married,NA,White,Yes,3,NA,Legal,Protestant,No denomination,NA,Pretty happy,NA,NA,Ballot b,Too little,About right,3,$7000 to 7999,Lt $1000,South Atlantic,822,Independent,Slghtly conservative,Too much,About right,Too little,NA
1471,0,71,17,NA,7,NA,Business administration,NA,High school diploma,Female,1,Working parttime,25,NA,Self-employed,Private,First-line supervisors of construction trades and extraction workers,Widowed,NA,White,Yes,6,Oppose,Legal,Buddhism,NA,NA,Very happy,NA,NA,Ballot b,Too little,About right,1,$25000 or more,$25000 or more,South Atlantic,822,Republican,Conservative,NA,NA,NA,NA
1472,5,53,9,NA,NA,11,NA,NA,NA,Female,3,Working fulltime,40,NA,Someone else,Government,Network and computer systems administrators,Married,Marriage between a man and a woman,Black,No,NA,Oppose,NA,Protestant,Baptist-dk which,NA,Not too happy,Fair,Routine,Ballot a,About right,NA,4,$25000 or more,$25000 or more,South Atlantic,822,Democrat,Moderate,Too much,About right,Too little,19
1473,2,NA,14,NA,15,NA,Business administration,NA,High school diploma,Male,5,Working fulltime,40,NA,Someone else,Private,Driver/sales workers and truck drivers,Divorced,NA,Black,Yes,Govt reduce diff,Favor,Legal,Catholic,NA,NA,Not too happy,NA,NA,Ballot b,About right,Too much,1,$25000 or more,$25000 or more,South Atlantic,822,Democrat,Slightly liberal,Too much,Too little,Too little,NA
1474,4,34,11,16,NA,14,NA,NA,NA,Female,1,Working fulltime,50,NA,Someone else,Private,"Combined food preparation and serving workers, including fast food",Married,Marriage between a man and a woman,Black,Yes,NA,Oppose,NA,Protestant,Baptist-dk which,NA,Pretty happy,Fair,Routine,Ballot a,Too little,NA,4,$25000 or more,(Missing),South Atlantic,822,NA,Moderate,NA,NA,NA,NA
1475,3,37,8,16,9,NA,NA,NA,NA,Female,1,Working fulltime,45,NA,Someone else,Private,"Inspectors, testers, sorters, samplers, and weighers",Divorced,NA,White,Yes,No govt action,Favor,NA,None,NA,NA,Not too happy,Good,Routine,Ballot c,Too little,Too much,3,$25000 or more,$15000 - 19999,South Atlantic,822,Republican,Conservative,Too little,Too little,NA,NA
1476,3,29,14,NA,12,12,Health,NA,High school diploma,Female,7,Working fulltime,38,NA,Someone else,Government,Recreation and fitness workers,Married,Marriage between a man and a woman,Black,Yes,Govt reduce diff,Favor,Legal,Protestant,Baptist-dk which,NA,Pretty happy,NA,NA,Ballot b,Too little,About right,4,$10000 - 14999,(Missing),South Atlantic,822,Democrat,Moderate,NA,NA,NA,NA
1477,2,63,12,NA,NA,NA,NA,NA,High school diploma,Female,2,Working fulltime,40,NA,Someone else,Private,Tellers,Divorced,NA,White,No,NA,Favor,NA,Protestant,Episcopal,NA,Pretty happy,Fair,Routine,Ballot a,About right,NA,1,$20000 - 24999,$10000 - 14999,South Atlantic,822,NA,Moderate,NA,NA,NA,38
1478,2,32,16,NA,12,NA,Social work,NA,High school diploma,Female,7,Temp not working,NA,40,Someone else,Private,Insurance claims and policy processing clerks,Never married,NA,Black,Yes,NA,NA,NA,Protestant,No denomination,NA,Very happy,Fair,Dull,Ballot c,Too little,NA,4,$15000 - 19999,$10000 - 14999,South Atlantic,822,Democrat,Slghtly conservative,NA,About right,Too little,NA
1479,0,33,16,14,14,NA,Other,NA,High school diploma,Male,1,Working fulltime,50,NA,Someone else,Government,Police and sheriff's patrol officers,Never married,NA,Black,Yes,5,Favor,Legal,Catholic,NA,NA,Pretty happy,NA,NA,Ballot b,About right,About right,1,$25000 or more,$25000 or more,South Atlantic,822,Republican,Slghtly conservative,NA,NA,NA,NA
1480,3,79,12,NA,NA,NA,NA,NA,Hs diploma after post hs classes,Female,9,Keeping house,NA,NA,Someone else,Private,"Production workers, all other",Never married,NA,Black,No,NA,Favor,Not legal,Protestant,No denomination,NA,Very happy,NA,NA,Ballot b,About right,About right,1,Refused,(Missing),South Atlantic,822,Democrat,(Missing),Too much,About right,Too little,78
1481,0,22,12,NA,12,NA,NA,NA,High school diploma,Male,3,Working parttime,30,NA,Someone else,Private,Cashiers,Never married,NA,Black,Yes,2,Oppose,NA,None,NA,NA,Pretty happy,Good,Exciting,Ballot c,About right,About right,1,$25000 or more,$5000 to 5999,South Atlantic,822,NA,Moderate,NA,Too little,About right,NA
1482,0,24,14,12,12,NA,NA,NA,High school diploma,Female,1,Working fulltime,50,NA,Someone else,Government,Electricians,Never married,NA,White,Yes,NA,NA,NA,Catholic,NA,NA,Pretty happy,Good,Routine,Ballot a,About right,About right,1,$25000 or more,$25000 or more,South Atlantic,822,NA,Moderate,Too little,Too little,About right,NA
1483,0,31,16,16,16,14,English,NA,High school diploma,Female,0,Keeping house,NA,NA,Someone else,Government,Atmospheric and space scientists,Married,Marriage between a man and a woman,White,Yes,3,Favor,Legal,Protestant,United methodist,NA,Pretty happy,Good,Routine,Ballot c,About right,Too little,2,$25000 or more,(Missing),South Atlantic,822,Democrat,Liberal,NA,NA,NA,NA
1484,2,43,16,16,12,16,Economics,NA,High school diploma,Female,1,Keeping house,NA,NA,Someone else,Private,Marketing and sales managers,Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,Catholic,NA,NA,Pretty happy,Good,Exciting,Ballot a,About right,Too little,3,Refused,$15000 - 19999,South Atlantic,20,Republican,Moderate,NA,About right,Too little,NA
1485,0,56,16,16,16,NA,Chemistry,NA,High school diploma,Female,2,Working fulltime,30,NA,Self-employed,Private,Physicians and surgeons,Divorced,NA,White,Yes,No govt action,Favor,Not legal,None,NA,NA,Very happy,Excellent,Exciting,Ballot c,Too little,Too little,1,Refused,Refused,South Atlantic,20,NA,Moderate,NA,NA,NA,NA
1486,2,54,14,12,14,NA,NA,NA,High school diploma,Male,1,Retired,NA,NA,Self-employed,Private,"Athletes, coaches, umpires, and related workers",Divorced,NA,White,Yes,No govt action,Favor,Legal,Catholic,NA,NA,Pretty happy,NA,NA,Ballot b,About right,About right,1,Refused,$10000 - 14999,South Atlantic,20,Republican,Conservative,About right,Too little,About right,NA
1487,2,47,12,14,12,16,NA,NA,High school diploma,Male,2,Working fulltime,50,NA,Someone else,Private,First-line supervisors of retail sales workers,Married,Marriage between a man and a woman,White,No,NA,Favor,NA,None,NA,NA,Very happy,Excellent,Exciting,Ballot a,About right,Too little,4,$25000 or more,$25000 or more,South Atlantic,20,NA,Slightly liberal,NA,NA,NA,34
1488,3,72,16,12,12,18,Communications/speech,NA,High school diploma,Female,3,Retired,NA,NA,Someone else,Private,Speech-language  pathologists,Married,Marriage between a man and a woman,White,Yes,No govt action,Oppose,Not legal,Catholic,NA,NA,Very happy,Good,Exciting,Ballot c,About right,Too little,2,Refused,(Missing),South Atlantic,20,NA,Conservative,About right,Too much,NA,NA
1489,2,60,18,16,14,17,Finance,NA,High school diploma,Male,4,Retired,NA,NA,Someone else,Private,"Transportation, storage, and distribution managers",Married,Marriage between a man and a woman,White,Yes,5,Favor,Not legal,Catholic,NA,NA,Very happy,Excellent,Exciting,Ballot c,About right,About right,2,Refused,Refused,South Atlantic,20,NA,Conservative,About right,Too little,About right,NA
1490,2,34,17,NA,10,16,Business administration,NA,High school diploma,Male,3,Working fulltime,40,NA,Someone else,Government,Military officer special and tactical operations leaders,Married,Marriage between a man and a woman,White,Yes,5,Favor,Legal,Protestant,Southern baptist,NA,Pretty happy,NA,NA,Ballot b,About right,NA,3,$25000 or more,$25000 or more,South Atlantic,20,Republican,Slghtly conservative,NA,NA,NA,NA
1491,2,38,16,12,16,16,Economics,NA,High school diploma,Male,1,Working fulltime,40,NA,Someone else,Private,Personal financial advisors,Married,Marriage between a man and a woman,White,Yes,NA,Oppose,NA,Jewish,NA,NA,Pretty happy,Excellent,Routine,Ballot a,About right,About right,2,Refused,$25000 or more,South Atlantic,20,Democrat,Liberal,NA,NA,NA,NA
1492,0,58,18,NA,16,18,Business administration,NA,High school diploma,Female,0,Retired,NA,NA,Someone else,Private,Financial managers,Married,Marriage between a man and a woman,White,Yes,No govt action,Favor,Not legal,Protestant,Methodist-dk which,NA,Pretty happy,NA,NA,Ballot b,About right,Too much,2,Refused,Refused,South Atlantic,20,NA,Conservative,NA,NA,NA,NA
1493,2,67,16,16,16,NA,Liberal arts,NA,High school diploma,Female,0,"Unempl, laid off",NA,NA,Someone else,Government,Special education teachers,Divorced,NA,White,Yes,NA,Oppose,NA,Catholic,NA,NA,Not too happy,Poor,Routine,Ballot a,About right,About right,1,$10000 - 14999,(Missing),South Atlantic,23,Independent,Moderate,Too little,Too little,Too little,NA
1494,3,39,13,NA,5,NA,NA,NA,Ged,Female,11,Keeping house,NA,NA,NA,NA,NA,Never married,NA,Other,Yes,5,Favor,Not legal,Christian,No denomination,NA,Pretty happy,Excellent,Exciting,Ballot c,Too little,About right,1,$8000 to 9999,(Missing),South Atlantic,23,NA,Conservative,NA,NA,NA,NA
1495,2,75,12,NA,12,NA,NA,NA,High school diploma,Female,1,Keeping house,NA,NA,Self-employed,Private,"Door-to-door sales workers, news and street vendors, and related workers",Divorced,NA,White,Yes,6,Favor,Not legal,Catholic,NA,NA,Pretty happy,Good,Routine,Ballot c,About right,Too little,1,$25000 or more,(Missing),South Atlantic,23,Independent,Conservative,About right,About right,About right,NA
1496,1,65,14,10,11,12,Accounting/bookkeeping,NA,High school diploma,Female,10,Temp not working,NA,9,Someone else,Private,Counselors,Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,Protestant,Lutheran-mo synod,NA,Pretty happy,Good,Exciting,Ballot a,About right,NA,1,$25000 or more,$1000 to 2999,South Atlantic,23,NA,Moderate,About right,Too much,About right,NA
1497,Eight or more,56,12,NA,12,NA,NA,NA,High school diploma,Male,1,Retired,NA,NA,Someone else,Private,"Shipping, receiving, and traffic clerks",Never married,NA,White,Yes,6,Favor,Not legal,Protestant,Am lutheran,NA,Pretty happy,NA,NA,Ballot b,About right,About right,1,$10000 - 14999,(Missing),South Atlantic,23,Democrat,Liberal,Too little,Too little,About right,NA
1498,3,35,14,NA,15,NA,Food science/nutrition/culinary arts,NA,Ged,Female,2,Keeping house,NA,NA,Someone else,Private,First-line supervisors of office and administrative support workers,Divorced,NA,Other,Yes,NA,Favor,NA,Protestant,No denomination,NA,Pretty happy,Fair,Routine,Ballot a,Too little,Too little,4,$25000 or more,(Missing),South Atlantic,23,Independent,Extremely liberal,NA,NA,NA,NA
1499,4,57,18,NA,16,14,Education,NA,High school diploma,Female,13,Working fulltime,50,NA,Someone else,Private,"Information and record clerks, all other",Married,Marriage between a man and a woman,Black,Yes,4,Favor,Legal,Protestant,No denomination,NA,Pretty happy,Fair,Routine,Ballot c,Too little,Too little,2,$25000 or more,$25000 or more,South Atlantic,23,Democrat,Moderate,Too much,Too little,Too little,NA
1500,5,63,13,12,NA,13,NA,NA,High school diploma,Male,2,Working fulltime,40,NA,Someone else,Private,Stock clerks and order fillers,Married,Marriage between a man and a woman,Black,No,2,Oppose,Legal,Catholic,NA,NA,Pretty happy,NA,NA,Ballot b,About right,About right,2,$20000 - 24999,$20000 - 24999,South Atlantic,23,Independent,Moderate,NA,NA,NA,50
